          Name    4-char code  Latitude     Longitude   Elevation(m)
            Kamfinsa  0214    -12.833333     28.416667      0.000000
         Pickle_Lake  0215     51.449444    -90.217500    393.000000
             Fifungo  0216    -13.577667     28.636167      0.000000
            Chisamba  0217    -15.002167     28.142667      0.000000
              Katima  0218    -17.466667     24.183333      0.000000
        IMAA_Potenza  0219     40.601254     15.723700    770.000000
       Andros_Island  0220     24.700000    -77.800000      7.000000
          Kejimkujik  0221     44.383333    -65.283300     90.000000
           Lydenburg  0222    -24.566666     30.766666   1186.000000
             Skukuza  0223    -24.991700     31.587500    265.000000
             Bahrain  0224     26.208050     50.609267     25.000000
      Table_Mountain  0225     40.125000   -105.237000   1689.000000
   TABLE_MOUNTAIN_CA  0226     34.380000   -117.680000   2200.000000
             Howland  0227     45.204100    -68.740200    120.000000
         Chequamegon  0228     45.933333    -90.250000    485.000000
                USDA  0229     39.029999    -76.879997     50.000000
            Honolulu  0230     21.317200   -157.886100      5.000000
      St_John_Island  0231     18.320000    -64.730000     38.000000
             Barnaul  0232     53.341667     83.772222    202.000000
           Bethlehem  0233    -28.248333     28.333333   1709.000000
       Solar_Village  0234     24.906933     46.397286    764.000000
        Abracos_Hill  0235    -10.760000    -62.358333    259.000000
             EOPACE1  0236     36.182167    -75.750750      9.000000
             EOPACE2  0237     36.183583    -75.744717      9.000000
         Mexico_City  0238     19.333611    -99.181667   2268.000000
            Carlsbad  0239     32.368833   -104.233167    967.000000
         Buena_Vista  0240     35.220000   -119.260000     90.000000
             Rimrock  0241     46.487500   -116.991667    824.000000
             Chinhae  0242     35.155800    128.652433     69.000000
         Albuquerque  0243     35.051672   -106.535836   1645.000000
           Kolimbari  0244     35.533333     23.783333     22.000000
           Helgoland  0245     54.177861      7.887361     33.000000
          Tahoe_City  0246     39.173300   -120.135000   1899.000000
               Nauru  0247     -0.520600    166.915900      7.000000
             Shelton  0248     40.750064    -98.760286    616.000000
             Creteil  0249     48.788500      2.442783     57.000000
           Mont_Joli  0250     48.640000    -68.156000     30.000000
              Marina  0251     36.806284   -121.787993     15.000000
             Gotland  0252     57.916667     18.950000     10.000000
               Konza  0253     39.082500    -96.559667    457.000000
               Sopot  0254     54.450833     18.564722     11.000000
    Clermont_Ferrand  0255     45.772435      2.964332   1461.000000
           Palaiseau  0256     48.711600      2.215000    156.000000
              Saclay  0257     48.733330      2.166660    160.000000
               Paris  0258     48.846797      2.355508     50.000000
            Toulouse  0259     43.574722      1.373889    150.000000
            TOULOUSE  0260     43.561944      1.476389    150.000000
             Moldova  0261     47.000800     28.815600    205.000000
   MD_Science_Center  0262     39.281230    -76.612052     15.000000
           GOA_INDIA  0263     15.452500     73.806111     20.000000
             Dharwar  0264     15.428611     74.988611    746.000000
     Aguas_Emendadas  0265    -15.581750    -47.656300    988.000000
            Belterra  0266     -2.648483    -54.951650    132.000000
             Balbina  0267     -1.916983    -59.486800     80.000000
           CEILAP-BA  0268    -34.555425    -58.506411     26.000000
              Anmyon  0269     36.538537    126.330194     47.000000
          Katibougou  0270     12.916667     -7.532000    304.000000
        Cordoba-CETT  0271    -31.524075    -64.463682    730.000000
            Dead_Sea  0272     31.100000     35.450000   -410.000000
                COVE  0273     36.900000    -75.710000     37.000000
          China_Lake  0274     35.674100   -117.744533    704.000000
             Tremiti  0275     42.117965     15.490115     40.000000
    IMS-METU-ERDEMLI  0276     36.565000     34.255000      3.000000
             Avignon  0277     43.932750      4.878067     32.000000
        Mammoth_Lake  0278     37.616667   -119.033333   2930.000000
     Rogers_Dry_Lake  0279     34.925550   -117.885000    715.000000
             Stennis  0280     30.368014    -89.616667     20.000000
       El_Arenosillo  0281     37.105000     -6.733472     59.000000
                UCLA  0282     34.069605   -118.442752    131.000000
           Nes_Ziona  0283     31.922500     34.789167     40.000000
            Maricopa  0284     33.069023   -111.972298    360.000000
              Inhaca  0285    -26.040583     32.905000     73.500000
                Kyiv  0286     50.363611     30.496667    200.000000
           Churchill  0287     58.736000    -93.818167     10.000000
        IMC_Oristano  0288     39.910000      8.500000     10.000000
              Azores  0289     38.530000    -28.630000     50.000000
             Hamburg  0290     53.568333      9.973333    120.000000
