                Name  4-char code   Latitude   Longitude  Elevation(m)
          Brookhaven          179  40.866000  -72.884700       37.0000
       Saturn_Island          180  48.775252 -123.128177      193.0000
              Latoya          181 -15.678133   23.299883     1064.0000
          Kaashidhoo          182   4.965000   73.466000       10.0000
             Surinam          183   5.800000  -55.200000       12.0000
              Oyster          184  37.295044  -75.933192        8.7000
          NCU_Taiwan          185  24.967662  121.187508      171.0000
              Ilorin          186   8.484100    4.674500      400.0000
          Concepcion          187 -16.138167  -62.028000      500.0000
      Dongsha_Island          188  20.698556  116.728833        5.0000
         Rogers_Lake          189  34.970000 -117.830000        0.0000
            Chao_Jou          190  22.513056  120.529167       12.0000
               Arica          191 -18.471667  -70.313333       25.0000
       Tinga_Tingana          192 -28.975833  139.990933       38.0000
            Monclova          193  25.950000 -101.470000     1714.0000
      Aguascalientes          194  21.700000 -102.320000     1861.0000
             Nangili          195 -14.877900   23.074300        0.0000
              Moombo          196 -15.068600   23.167400        0.0000
        Namushakende          197 -15.581100   23.303800        0.0000
              LUKULU          198 -14.393700   23.248500        0.0000
         Lukulu_West          199 -14.385200   23.243600        0.0000
      Mission_Lukulu          200 -14.385200   23.243600        0.0000
         Chitokoloki          201 -13.834100   23.209600        0.0000
              Sianda          202 -15.582600   23.298300        0.0000
              Litoya          203 -15.677000   23.300000        0.0000
       SENANGA_SOUTH          204 -16.150000   23.297900        0.0000
       senanga_north          205 -16.078000   23.311700        0.0000
               Sioma          206 -16.598900   23.501000        0.0000
           Kalongola          207 -16.245600   23.237600        0.0000
             Silumbu          208 -16.923900   23.872200        0.0000
     MCO-Hanimaadhoo          209   6.776350   73.183183       13.0000
               Kabwe          210 -14.406667   28.460500        0.0000
           NASA_LaRC          211  37.104960  -76.378640        5.0000
         Kashinakaji          212 -13.000000   24.466667        0.0000
            Shikoswe          213 -15.745167   28.176833        0.0000
            Kamfinsa          214 -12.833333   28.416667        0.0000
         Pickle_Lake          215  51.449444  -90.217500      393.0000
             Fifungo          216 -13.577667   28.636167        0.0000
            Chisamba          217 -15.002167   28.142667        0.0000
              Katima          218 -17.466667   24.183333        0.0000
